Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.71
1,2,13.17
1,3,13.96
1,4,13.95
1,5,16.66
1,6,15.29
1,7,15.26
1,8,15.31
1,9,15.21
1,10,15.11
1,11,14.73
1,12,13.21
1,13,13.40
1,14,12.59
1,15,11.17
1,16,10.17
1,17,9.43
1,18,7.55
2,1,4.62
2,2,6.45
2,3,7.77
2,4,7.01
2,5,7.59
2,6,6.64
2,7,10.13
2,8,15.25
2,9,10.88
2,10,17.81
2,11,18.09
2,12,18.25
2,13,17.95
2,14,17.65
2,15,16.90
2,16,16.16
2,17,15.40
2,18,13.31
4,1,5.32
4,2,5.70
4,3,5.07
4,4,6.30
4,5,7.31
4,6,9.40
4,7,12.46
4,8,15.80
4,9,18.98
4,10,21.90
4,11,24.91
4,12,26.76
4,13,26.52
4,14,26.49
4,15,25.73
4,16,24.85
4,17,23.36
4,18,19.59
8,1,3.78
8,2,4.25
8,3,4.31
8,4,5.45
8,5,7.36
8,6,10.02
8,7,14.43
8,8,20.76
8,9,27.32
8,10,35.55
8,11,44.73
8,12,50.66
8,13,52.02
8,14,50.39
8,15,47.91
8,16,45.05
8,17,39.11
8,18,40.15
16,1,3.02
16,2,3.79
16,3,4.37
16,4,6.15
16,5,9.30
16,6,15.92
16,7,21.90
16,8,35.21
16,9,42.97
16,10,57.23
16,11,54.53
16,12,60.30
16,13,78.76
16,14,80.78
16,15,73.46
16,16,57.30
16,17,39.02
16,18,52.21
32,1,2.37
32,2,3.06
32,3,3.71
32,4,5.70
32,5,8.59
32,6,13.24
32,7,20.69
32,8,30.57
32,9,44.93
32,10,60.51
32,11,81.96
32,12,93.80
32,13,102.79
32,14,98.51
32,15,87.43
32,16,64.60
32,17,45.02
32,18,52.95
Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.68
1,2,13.20
1,3,13.97
1,4,11.48
1,5,16.56
1,6,14.69
1,7,14.69
1,8,14.72
1,9,14.69
1,10,14.72
1,11,14.31
1,12,13.74
1,13,13.24
1,14,12.25
1,15,10.87
1,16,9.88
1,17,9.12
1,18,7.39
2,1,7.39
2,2,5.08
2,3,7.70
2,4,8.40
2,5,6.04
2,6,8.87
2,7,13.15
2,8,12.31
2,9,16.57
2,10,12.45
2,11,18.34
2,12,18.20
2,13,18.08
2,14,17.85
2,15,17.25
2,16,16.77
2,17,16.29
2,18,13.96
4,1,5.74
4,2,5.98
4,3,5.97
4,4,6.01
4,5,8.28
4,6,9.51
4,7,12.92
4,8,15.85
4,9,18.91
4,10,22.20
4,11,25.07
4,12,26.70
4,13,26.27
4,14,26.65
4,15,25.87
4,16,24.78
4,17,23.46
4,18,20.20
8,1,3.90
8,2,4.23
8,3,4.35
8,4,5.50
8,5,7.40
8,6,9.85
8,7,14.28
8,8,21.30
8,9,27.01
8,10,35.27
8,11,44.46
8,12,49.89
8,13,51.47
8,14,51.87
8,15,49.00
8,16,43.35
8,17,36.10
8,18,37.55
16,1,3.37
16,2,3.80
16,3,4.42
16,4,6.92
16,5,9.11
16,6,12.56
16,7,22.31
16,8,31.38
16,9,42.95
16,10,59.11
16,11,62.44
16,12,76.33
16,13,79.89
16,14,77.40
16,15,72.09
16,16,60.40
16,17,47.50
16,18,58.89
32,1,2.54
32,2,3.18
32,3,3.75
32,4,5.79
32,5,8.67
32,6,12.93
32,7,20.79
32,8,30.37
32,9,44.27
32,10,60.15
32,11,83.47
32,12,92.54
32,13,103.40
32,14,99.14
32,15,86.34
32,16,63.35
32,17,43.03
32,18,50.70
Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.74
1,2,14.62
1,3,14.73
1,4,11.08
1,5,16.67
1,6,15.52
1,7,14.20
1,8,15.50
1,9,15.44
1,10,14.02
1,11,13.72
1,12,13.08
1,13,13.71
1,14,11.55
1,15,10.21
1,16,9.24
1,17,8.54
1,18,6.85
2,1,4.47
2,2,4.91
2,3,7.64
2,4,4.99
2,5,9.05
2,6,10.99
2,7,13.48
2,8,15.31
2,9,11.51
2,10,17.79
2,11,18.53
2,12,18.47
2,13,18.20
2,14,18.07
2,15,17.46
2,16,17.05
2,17,16.65
2,18,13.97
4,1,5.42
4,2,5.79
4,3,5.69
4,4,6.66
4,5,7.35
4,6,9.46
4,7,12.92
4,8,16.42
4,9,19.59
4,10,22.62
4,11,25.30
4,12,26.81
4,13,27.19
4,14,26.59
4,15,26.05
4,16,24.64
4,17,22.42
4,18,19.96
8,1,3.97
8,2,4.16
8,3,4.35
8,4,5.32
8,5,7.21
8,6,10.17
8,7,14.44
8,8,20.66
8,9,28.21
8,10,36.24
8,11,43.60
8,12,52.60
8,13,48.41
8,14,51.03
8,15,50.50
8,16,44.66
8,17,37.69
8,18,37.95
16,1,3.18
16,2,4.22
16,3,4.77
16,4,6.01
16,5,9.72
16,6,16.38
16,7,22.54
16,8,28.19
16,9,47.92
16,10,51.35
16,11,68.35
16,12,79.62
16,13,76.10
16,14,79.27
16,15,70.27
16,16,58.03
16,17,38.70
16,18,49.81
32,1,2.45
32,2,3.07
32,3,3.74
32,4,5.72
32,5,8.50
32,6,12.59
32,7,20.68
32,8,30.10
32,9,44.27
32,10,60.70
32,11,80.79
32,12,99.74
32,13,97.68
32,14,102.71
32,15,93.55
32,16,69.86
32,17,47.46
