Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.56
1,2,14.55
1,3,14.61
1,4,14.03
1,5,16.38
1,6,15.76
1,7,15.73
1,8,15.77
1,9,15.71
1,10,15.58
1,11,15.13
1,12,14.55
1,13,14.08
1,14,13.17
1,15,11.92
1,16,10.40
1,17,9.42
1,18,7.91
2,1,4.39
2,2,5.02
2,3,4.96
2,4,5.00
2,5,5.54
2,6,7.20
2,7,9.40
2,8,11.14
2,9,12.39
2,10,13.21
2,11,13.68
2,12,13.69
2,13,13.65
2,14,13.40
2,15,12.83
2,16,12.08
2,17,11.25
2,18,9.70
4,1,4.77
4,2,4.85
4,3,4.91
4,4,5.54
4,5,6.53
4,6,8.47
4,7,11.60
4,8,14.76
4,9,18.07
4,10,20.79
4,11,23.12
4,12,24.23
4,13,24.42
4,14,24.32
4,15,23.95
4,16,22.95
4,17,21.47
4,18,18.68
8,1,3.60
8,2,3.90
8,3,4.26
8,4,5.25
8,5,6.88
8,6,9.49
8,7,13.99
8,8,19.03
8,9,25.59
8,10,32.22
8,11,39.31
8,12,44.31
8,13,45.38
8,14,45.73
8,15,44.76
8,16,42.49
8,17,38.00
8,18,35.79
16,1,3.06
16,2,3.25
16,3,4.12
16,4,5.50
16,5,7.53
16,6,10.56
16,7,16.22
16,8,22.77
16,9,33.10
16,10,45.92
16,11,63.42
16,12,78.26
16,13,83.68
16,14,83.99
16,15,79.81
16,16,67.45
16,17,50.20
16,18,55.52
32,1,2.50
32,2,2.83
32,3,3.93
32,4,5.76
32,5,8.45
32,6,13.07
32,7,20.78
32,8,30.86
32,9,45.34
32,10,63.04
32,11,87.71
32,12,104.16
32,13,111.14
32,14,109.42
32,15,98.93
32,16,76.22
32,17,52.49
32,18,63.32
Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.63
1,2,14.51
1,3,14.56
1,4,13.99
1,5,16.31
1,6,15.68
1,7,15.65
1,8,15.67
1,9,15.59
1,10,15.55
1,11,15.09
1,12,14.49
1,13,14.10
1,14,13.20
1,15,11.93
1,16,10.43
1,17,9.43
1,18,7.93
2,1,4.40
2,2,4.91
2,3,4.71
2,4,5.24
2,5,5.70
2,6,6.60
2,7,8.51
2,8,10.16
2,9,11.88
2,10,12.90
2,11,13.45
2,12,13.58
2,13,13.58
2,14,13.39
2,15,12.83
2,16,12.10
2,17,11.29
2,18,9.70
4,1,4.64
4,2,4.70
4,3,4.97
4,4,5.52
4,5,6.48
4,6,8.01
4,7,10.37
4,8,14.00
4,9,17.66
4,10,20.56
4,11,22.97
4,12,24.14
4,13,24.36
4,14,24.36
4,15,23.95
4,16,22.92
4,17,21.42
4,18,18.68
8,1,3.49
8,2,3.72
8,3,4.35
8,4,5.33
8,5,6.59
8,6,9.37
8,7,13.25
8,8,18.86
8,9,24.87
8,10,32.02
8,11,38.98
8,12,44.18
8,13,45.31
8,14,45.69
8,15,44.77
8,16,42.44
8,17,37.95
8,18,35.91
16,1,2.97
16,2,3.26
16,3,4.06
16,4,5.43
16,5,7.52
16,6,10.48
16,7,16.15
16,8,22.75
16,9,32.96
16,10,45.69
16,11,63.33
16,12,78.29
16,13,83.59
16,14,84.18
16,15,79.48
16,16,67.11
16,17,49.60
16,18,55.09
32,1,2.51
32,2,2.85
32,3,3.89
32,4,5.74
32,5,8.51
32,6,13.00
32,7,21.40
32,8,31.68
32,9,46.88
32,10,64.09
32,11,87.46
32,12,104.28
32,13,110.92
32,14,109.60
32,15,99.29
32,16,76.26
32,17,53.45
32,18,61.11
Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.64
1,2,14.52
1,3,14.58
1,4,14.04
1,5,16.12
1,6,15.54
1,7,15.65
1,8,15.66
1,9,15.67
1,10,15.64
1,11,15.23
1,12,14.61
1,13,14.13
1,14,13.22
1,15,11.92
1,16,10.40
1,17,9.35
1,18,7.90
2,1,4.60
2,2,4.93
2,3,4.85
2,4,4.91
2,5,5.60
2,6,7.41
2,7,8.54
2,8,9.76
2,9,11.46
2,10,12.70
2,11,13.37
2,12,13.54
2,13,13.56
2,14,13.35
2,15,12.79
2,16,12.10
2,17,11.30
2,18,9.69
4,1,4.77
4,2,4.69
4,3,4.84
