Independent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
8,6,218.01
8,7,257.35
8,8,344.18
8,9,360.52
8,10,348.17
8,11,293.79
8,12,234.05
8,13,174.74
8,14,118.92
8,15,83.40
8,16,60.02
8,17,43.56
8,18,39.58
16,1,172.18
16,2,160.57
16,3,167.67
16,4,190.77
16,5,274.46
16,6,331.84
16,7,442.11
16,8,640.71
16,9,632.77
16,10,581.61
16,11,453.11
16,12,264.67
16,13,134.39
16,14,94.52
16,15,61.91
16,16,44.83
16,17,39.20
16,18,37.74
32,1,155.42
32,2,170.70
32,3,200.90
32,4,240.09
32,5,338.86
32,6,507.27
32,7,738.31
32,8,770.72
32,9,516.40
32,10,536.97
32,11,349.33
32,12,184.81
32,13,54.65
32,14,38.81
32,15,26.53
32,16,21.61
32,17,19.16
32,18,26.26
Independent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,35.05
1,2,45.62
1,3,57.33
1,4,61.02
1,5,64.45
1,6,60.56
1,7,62.97
1,8,60.98
1,9,63.55
1,10,59.89
1,11,49.50
1,12,40.89
1,13,36.67
1,14,32.26
1,15,27.97
1,16,24.07
1,17,19.30
1,18,12.88
2,1,70.07
2,2,54.79
2,3,50.63
2,4,49.25
2,5,74.25
2,6,85.17
2,7,98.48
2,8,106.03
2,9,111.51
2,10,111.26
2,11,92.52
2,12,77.69
2,13,68.57
2,14,61.05
2,15,52.01
2,16,44.14
2,17,35.95
2,18,26.86
4,1,85.64
4,2,54.48
4,3,52.28
4,4,72.55
4,5,121.78
4,6,139.65
4,7,164.96
4,8,182.74
4,9,193.51
4,10,197.53
4,11,167.93
4,12,141.51
4,13,112.42
4,14,103.88
4,15,88.02
4,16,71.91
4,17,54.79
4,18,42.99
8,1,114.75
8,2,103.45
8,3,88.89
8,4,120.60
8,5,181.15
8,6,211.60
8,7,258.21
8,8,347.11
8,9,364.71
8,10,365.06
8,11,306.29
8,12,251.42
8,13,181.21
8,14,128.02
8,15,88.65
8,16,64.44
8,17,47.49
8,18,46.10
16,1,181.00
16,2,158.11
16,3,170.44
16,4,194.88
16,5,282.26
16,6,342.17
16,7,470.73
16,8,645.49
16,9,666.82
16,10,632.15
16,11,465.81
16,12,263.49
16,13,133.11
16,14,87.87
16,15,63.02
16,16,47.11
16,17,36.89
16,18,41.26
32,1,154.77
32,2,167.56
32,3,194.19
32,4,243.46
32,5,337.81
32,6,492.51
32,7,515.47
32,8,601.24
32,9,743.94
32,10,615.95
32,11,183.91
32,12,95.42
32,13,49.59
32,14,38.31
32,15,22.65
32,16,17.94
32,17,31.11
32,18,33.47
