Independent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
8,6,167.75
8,7,198.47
8,8,198.17
8,9,256.45
8,10,252.36
8,11,245.42
8,12,198.30
8,13,168.26
8,14,115.14
8,15,76.09
8,16,49.69
8,17,33.10
8,18,44.12
16,1,112.15
16,2,114.83
16,3,119.71
16,4,156.89
16,5,196.28
16,6,261.28
16,7,301.15
16,8,353.65
16,9,354.84
16,10,326.92
16,11,295.62
16,12,224.03
16,13,116.22
16,14,65.94
16,15,42.76
16,16,30.16
16,17,22.55
16,18,39.20
32,1,123.45
32,2,140.54
32,3,163.74
32,4,194.63
32,5,297.10
32,6,370.31
32,7,488.92
32,8,467.57
32,9,398.93
32,10,343.10
32,11,253.85
32,12,125.84
32,13,66.28
32,14,44.08
32,15,31.29
32,16,24.32
32,17,19.94
32,18,34.92
Independent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,33.97
1,2,46.27
1,3,54.56
1,4,62.53
1,5,64.15
1,6,56.89
1,7,56.59
1,8,56.58
1,9,56.75
1,10,55.88
1,11,42.13
1,12,38.59
1,13,34.17
1,14,31.22
1,15,26.99
1,16,23.29
1,17,18.98
1,18,12.65
2,1,49.59
2,2,50.13
2,3,43.72
2,4,46.73
2,5,60.30
2,6,74.98
2,7,87.38
2,8,96.32
2,9,106.07
2,10,100.47
2,11,87.01
2,12,76.20
2,13,67.42
2,14,60.02
2,15,50.77
2,16,41.58
2,17,34.55
2,18,26.68
4,1,69.59
4,2,57.27
4,3,47.22
4,4,61.51
4,5,90.68
4,6,117.05
4,7,125.94
4,8,158.77
4,9,153.71
4,10,161.57
4,11,149.30
4,12,128.58
4,13,111.74
4,14,95.94
4,15,78.54
4,16,62.58
4,17,46.42
4,18,42.43
8,1,93.08
8,2,73.74
8,3,69.13
8,4,99.79
8,5,139.61
8,6,169.09
8,7,185.03
8,8,225.05
8,9,219.00
8,10,292.46
8,11,179.26
8,12,196.78
8,13,141.03
8,14,115.77
8,15,75.08
8,16,49.67
8,17,34.36
8,18,44.26
16,1,120.20
16,2,117.80
16,3,118.80
16,4,158.38
16,5,172.19
16,6,236.70
16,7,295.64
16,8,309.69
16,9,355.23
16,10,317.60
16,11,318.79
16,12,226.62
16,13,111.78
16,14,65.76
16,15,42.08
16,16,32.11
16,17,23.67
16,18,39.27
32,1,115.21
32,2,132.06
32,3,151.20
32,4,187.61
32,5,302.42
32,6,408.86
32,7,473.11
32,8,391.59
32,9,363.03
32,10,345.84
32,11,260.02
32,12,123.31
32,13,67.89
32,14,43.61
32,15,32.51
32,16,25.24
32,17,20.67
32,18,32.89
