Independent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,34.56
1,2,45.57
1,3,56.36
1,4,62.84
1,5,64.36
1,6,56.71
1,7,54.89
1,8,62.63
1,9,61.16
1,10,60.41
1,11,48.45
1,12,40.20
1,13,36.54
1,14,32.28
1,15,27.79
1,16,23.75
1,17,18.83
1,18,12.89
2,1,59.65
2,2,55.05
2,3,44.15
2,4,58.73
2,5,75.27
2,6,90.89
2,7,101.08
2,8,101.09
2,9,104.52
2,10,106.77
2,11,91.72
2,12,74.92
2,13,60.85
2,14,52.24
2,15,37.72
2,16,31.93
2,17,21.01
2,18,20.00
4,1,73.58
4,2,56.98
4,3,47.54
4,4,80.14
4,5,102.23
4,6,145.53
4,7,135.92
4,8,162.41
4,9,161.72
4,10,162.80
4,11,139.62
4,12,121.83
4,13,100.14
4,14,74.57
4,15,54.53
4,16,39.53
4,17,23.49
4,18,26.72
8,1,118.79
8,2,75.79
8,3,86.14
8,4,131.88
8,5,177.77
8,6,169.44
8,7,170.56
8,8,232.34
8,9,220.63
8,10,216.55
8,11,210.96
8,12,161.03
8,13,122.52
8,14,60.68
8,15,45.48
8,16,27.04
8,17,18.36
8,18,24.91
16,1,108.99
16,2,103.26
16,3,113.69
16,4,156.89
16,5,196.57
16,6,259.37
16,7,248.26
16,8,281.32
16,9,266.21
16,10,287.20
16,11,207.13
16,12,114.87
16,13,83.34
16,14,61.90
16,15,38.81
16,16,24.18
16,17,15.89
16,18,22.87
32,1,133.86
32,2,143.12
32,3,167.22
32,4,218.31
32,5,276.38
32,6,393.51
32,7,414.19
32,8,371.12
32,9,395.68
32,10,256.40
32,11,211.33
32,12,93.17
32,13,35.13
32,14,39.99
32,15,19.21
32,16,20.64
32,17,12.01
32,18,19.67
Independent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,34.29
1,2,45.14
1,3,53.15
1,4,59.97
1,5,63.72
1,6,59.62
1,7,59.44
1,8,59.88
1,9,59.93
1,10,59.09
1,11,47.03
1,12,39.36
1,13,35.33
1,14,31.27
1,15,26.74
1,16,22.96
1,17,18.57
1,18,11.91
2,1,51.18
2,2,48.37
2,3,54.79
2,4,59.81
2,5,77.33
2,6,87.77
2,7,96.03
2,8,96.61
2,9,104.01
2,10,104.23
2,11,87.55
2,12,74.04
2,13,65.66
2,14,51.92
2,15,44.70
2,16,37.62
2,17,29.68
2,18,22.95
4,1,88.57
4,2,57.10
4,3,59.20
4,4,84.09
4,5,121.17
4,6,140.35
4,7,157.14
4,8,150.68
4,9,185.93
4,10,170.90
4,11,146.36
4,12,126.39
4,13,101.17
4,14,81.81
4,15,61.88
4,16,42.35
4,17,29.70
4,18,30.49
8,1,105.43
8,2,81.51
8,3,88.66
8,4,110.02
8,5,152.95
8,6,185.16
8,7,198.74
8,8,215.71
8,9,249.68
8,10,244.88
8,11,196.97
8,12,167.62
8,13,124.84
8,14,83.01
8,15,45.24
8,16,27.14
8,17,20.17
8,18,24.00
16,1,97.51
16,2,99.94
16,3,158.63
