Independent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
8,6,217.81
8,7,267.22
8,8,359.61
8,9,368.66
8,10,374.41
8,11,264.18
8,12,252.96
8,13,187.53
8,14,129.99
8,15,91.06
8,16,67.04
8,17,48.36
8,18,46.24
16,1,178.66
16,2,144.89
16,3,154.80
16,4,183.92
16,5,275.09
16,6,340.25
16,7,473.20
16,8,646.11
16,9,607.71
16,10,535.51
16,11,452.02
16,12,271.63
16,13,206.28
16,14,121.54
16,15,62.58
16,16,49.66
16,17,37.31
16,18,42.46
32,1,161.35
32,2,175.01
32,3,183.55
32,4,252.44
32,5,363.60
32,6,534.82
32,7,803.99
32,8,873.80
32,9,815.11
32,10,715.13
32,11,513.49
32,12,249.93
32,13,91.29
32,14,67.07
32,15,50.10
32,16,40.67
32,17,33.35
32,18,36.11
Independent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,34.10
1,2,45.41
1,3,54.46
1,4,60.86
1,5,64.12
1,6,58.49
1,7,56.92
1,8,58.01
1,9,56.45
1,10,56.06
1,11,46.87
1,12,38.51
1,13,34.74
1,14,31.40
1,15,26.99
1,16,23.34
1,17,19.84
1,18,12.58
2,1,67.64
2,2,54.31
2,3,50.14
2,4,47.23
2,5,74.31
2,6,81.92
2,7,94.09
2,8,102.83
2,9,104.68
2,10,105.80
2,11,87.77
2,12,76.19
2,13,63.97
2,14,61.40
2,15,51.83
2,16,45.08
2,17,37.04
2,18,26.78
4,1,88.17
4,2,63.39
4,3,53.29
4,4,72.05
4,5,108.01
4,6,128.70
4,7,160.78
4,8,187.17
4,9,174.81
4,10,193.67
4,11,164.04
4,12,141.76
4,13,126.85
4,14,104.96
4,15,88.79
4,16,72.87
4,17,55.81
4,18,43.97
8,1,113.85
8,2,106.27
8,3,84.91
8,4,118.26
8,5,167.28
8,6,202.86
8,7,256.35
8,8,314.44
8,9,366.97
8,10,359.21
8,11,280.41
8,12,249.48
8,13,174.43
8,14,126.39
8,15,98.44
8,16,64.18
8,17,47.29
8,18,46.32
16,1,169.40
16,2,163.17
16,3,140.64
16,4,194.38
16,5,254.98
16,6,334.71
16,7,417.37
16,8,634.76
16,9,625.04
16,10,593.92
16,11,449.77
16,12,281.19
16,13,153.54
16,14,116.22
16,15,73.63
16,16,51.02
16,17,38.65
16,18,42.15
32,1,164.30
32,2,174.17
32,3,196.07
32,4,242.72
32,5,370.04
32,6,575.19
32,7,792.15
32,8,805.39
32,9,801.56
32,10,674.49
32,11,490.36
32,12,226.60
32,13,129.19
32,14,64.56
32,15,48.00
32,16,40.68
32,17,32.42
32,18,35.86
