Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.59
1,2,14.39
1,3,14.22
1,4,11.90
1,5,16.65
1,6,15.97
1,7,15.94
1,8,15.98
1,9,15.94
1,10,15.85
1,11,15.45
1,12,14.72
1,13,14.24
1,14,13.25
1,15,11.92
1,16,10.40
1,17,8.98
1,18,6.82
2,1,4.85
2,2,5.21
2,3,4.82
2,4,5.09
2,5,5.35
2,6,6.53
2,7,8.08
2,8,9.67
2,9,10.81
2,10,11.69
2,11,12.81
2,12,13.19
2,13,13.23
2,14,12.97
2,15,12.54
2,16,11.93
2,17,11.25
2,18,9.62
4,1,4.71
4,2,4.94
4,3,4.90
4,4,5.43
4,5,6.23
4,6,7.70
4,7,10.68
4,8,13.75
4,9,16.54
4,10,19.00
4,11,21.81
4,12,23.13
4,13,23.33
4,14,23.31
4,15,23.09
4,16,22.45
4,17,20.82
4,18,18.43
8,1,3.65
8,2,3.97
8,3,4.34
8,4,5.21
8,5,6.68
8,6,9.11
8,7,13.27
8,8,17.79
8,9,23.49
8,10,29.01
8,11,36.45
8,12,41.71
8,13,37.22
8,14,43.50
8,15,42.60
8,16,39.23
8,17,34.11
8,18,33.90
16,1,2.93
16,2,3.56
16,3,4.17
16,4,5.35
16,5,7.23
16,6,10.29
16,7,15.66
16,8,21.79
16,9,30.64
16,10,42.03
16,11,56.90
16,12,69.44
16,13,72.73
16,14,72.86
16,15,70.05
16,16,57.33
16,17,41.68
16,18,48.14
32,1,2.40
32,2,3.11
32,3,3.97
32,4,5.55
32,5,8.21
32,6,12.80
32,7,21.18
32,8,30.08
32,9,45.18
32,10,59.26
32,11,82.45
32,12,97.13
32,13,102.20
32,14,99.68
32,15,85.85
32,16,62.38
32,17,42.34
32,18,49.75
Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.58
1,2,14.42
1,3,14.14
1,4,11.95
1,5,16.68
1,6,16.07
1,7,15.87
1,8,16.02
1,9,15.93
1,10,15.82
1,11,15.36
1,12,14.68
1,13,14.20
1,14,13.23
1,15,11.88
1,16,10.76
1,17,9.64
1,18,6.76
2,1,4.45
2,2,5.01
2,3,4.98
2,4,5.00
2,5,5.40
2,6,6.57
2,7,8.19
2,8,9.84
2,9,11.15
2,10,11.78
2,11,12.78
2,12,13.16
2,13,13.13
2,14,13.03
2,15,12.56
2,16,11.94
2,17,11.25
2,18,9.75
4,1,4.79
4,2,5.00
4,3,4.87
4,4,5.18
4,5,6.12
4,6,7.76
4,7,10.47
4,8,13.20
4,9,16.15
4,10,18.90
4,11,21.84
4,12,23.11
4,13,23.36
4,14,23.36
4,15,23.22
4,16,22.32
4,17,21.28
4,18,18.61
8,1,3.58
8,2,4.09
8,3,4.35
8,4,5.09
8,5,6.73
8,6,8.86
8,7,12.78
8,8,17.26
8,9,23.00
8,10,28.67
8,11,36.11
8,12,41.44
8,13,43.10
8,14,42.90
8,15,42.88
8,16,40.15
8,17,35.50
8,18,34.56
16,1,2.96
16,2,3.39
16,3,4.16
16,4,5.46
16,5,7.22
16,6,10.40
16,7,15.13
16,8,21.55
16,9,30.68
16,10,41.32
16,11,56.52
16,12,69.72
16,13,74.46
16,14,72.79
16,15,69.86
16,16,60.74
16,17,44.34
16,18,50.34
32,1,2.42
32,2,3.04
32,3,3.98
32,4,5.75
32,5,8.43
32,6,13.06
32,7,20.84
32,8,30.01
32,9,44.81
32,10,60.73
32,11,82.28
32,12,97.62
32,13,97.43
32,14,98.60
32,15,89.77
32,16,65.47
32,17,44.81
32,18,52.77
Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.68
1,2,14.41
1,3,14.12
1,4,11.95
1,5,16.63
1,6,16.00
1,7,15.91
1,8,15.93
1,9,15.95
1,10,15.88
1,11,15.30
1,12,14.78
1,13,14.33
1,14,13.29
1,15,11.78
1,16,10.79
1,17,9.71
1,18,6.85
2,1,4.73
2,2,5.00
2,3,5.04
2,4,5.04
2,5,5.46
2,6,6.73
2,7,8.25
2,8,9.70
2,9,11.03
2,10,11.67
2,11,12.91
2,12,13.24
2,13,13.26
2,14,13.11
2,15,12.54
2,16,11.99
2,17,11.20
2,18,9.74
4,1,4.92
4,2,5.02
4,3,5.01
4,4,5.34
4,5,6.24
4,6,7.91
4,7,10.52
4,8,13.29
4,9,16.22
4,10,18.91
4,11,21.82
4,12,23.26
4,13,23.35
4,14,23.52
4,15,23.17
4,16,22.43
4,17,21.15
4,18,18.62
8,1,3.58
8,2,4.00
8,3,4.36
8,4,5.34
8,5,6.70
8,6,9.41
8,7,13.00
8,8,17.59
8,9,23.57
8,10,29.23
8,11,36.57
8,12,41.96
8,13,43.01
8,14,42.86
8,15,41.86
8,16,39.42
8,17,34.60
8,18,34.17
16,1,3.09
16,2,3.48
16,3,4.19
16,4,5.49
16,5,7.28
16,6,10.35
16,7,15.51
16,8,21.47
16,9,30.82
16,10,41.13
16,11,56.05
16,12,68.33
16,13,74.76
16,14,73.88
16,15,70.30
16,16,60.18
16,17,44.18
16,18,50.56
32,1,2.51
32,2,3.06
32,3,3.99
32,4,5.77
32,5,8.40
32,6,13.13
32,7,20.93
32,8,30.10
32,9,45.12
32,10,59.87
32,11,81.31
32,12,97.15
32,13,94.92
32,14,99.96
32,15,87.55
32,16,64.88
32,17,44.10
32,18,51.84
Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.64
1,2,14.45
1,3,14.19
1,4,11.92
1,5,16.63
1,6,15.89
1,7,15.95
1,8,16.03
1,9,16.01
1,10,15.86
1,11,15.41
1,12,14.79
1,13,14.18
1,14,13.04
1,15,11.84
1,16,10.79
1,17,9.64
1,18,6.79
2,1,4.65
2,2,5.22
2,3,5.09
2,4,5.01
2,5,5.60
2,6,6.63
2,7,8.15
2,8,9.57
2,9,11.04
2,10,11.74
2,11,12.83
2,12,13.23
2,13,13.28
2,14,13.10
2,15,12.54
2,16,11.99
2,17,11.20
2,18,9.69
4,1,4.80
4,2,5.11
4,3,5.01
4,4,5.31
4,5,6.30
4,6,7.92
4,7,10.52
4,8,13.32
4,9,16.38
4,10,19.05
4,11,21.79
4,12,23.29
4,13,23.19
4,14,23.18
4,15,23.21
4,16,22.15
4,17,21.25
4,18,18.78
8,1,3.64
8,2,4.24
8,3,4.47
8,4,5.29
8,5,7.03
8,6,9.32
8,7,12.98
8,8,17.49
8,9,23.06
8,10,28.97
8,11,36.77
8,12,42.05
8,13,43.08
8,14,43.56
8,15,43.10
8,16,40.72
8,17,36.67
8,18,35.50
16,1,3.02
16,2,3.62
16,3,4.25
16,4,5.47
16,5,7.18
16,6,10.38
16,7,15.37
16,8,21.36
16,9,30.46
16,10,41.37
16,11,56.00
16,12,69.96
16,13,73.32
16,14,72.35
16,15,69.38
16,16,60.87
16,17,47.42
16,18,53.42
32,1,2.45
32,2,3.15
32,3,4.06
32,4,5.75
32,5,8.46
32,6,12.86
32,7,20.44
32,8,30.17
32,9,43.54
32,10,61.02
32,11,78.30
32,12,95.82
32,13,101.01
32,14,99.17
32,15,87.24
32,16,64.61
32,17,44.22
32,18,51.74
Concurrent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,13.65
1,2,14.36
1,3,14.19
1,4,11.93
1,5,16.67
1,6,15.92
1,7,15.86
1,8,16.01
1,9,16.00
1,10,15.88
1,11,15.44
1,12,14.75
1,13,14.25
1,14,13.34
1,15,11.94
1,16,10.73
1,17,9.58
1,18,6.85
2,1,4.62
2,2,5.01
2,3,4.88
2,4,4.87
2,5,5.68
2,6,7.00
2,7,8.43
2,8,9.72
2,9,11.15
2,10,12.15
2,11,12.88
2,12,13.16
2,13,13.24
2,14,13.05
2,15,12.55
2,16,11.96
2,17,11.26
2,18,9.78
4,1,4.86
4,2,5.05
4,3,5.00
4,4,5.52
4,5,6.39
4,6,8.22
4,7,10.40
4,8,13.15
4,9,16.41
4,10,18.89
4,11,21.77
4,12,23.28
4,13,23.42
4,14,23.37
4,15,23.19
4,16,22.23
4,17,20.98
4,18,18.64
8,1,3.54
8,2,4.21
8,3,4.45
8,4,5.30
8,5,6.80
8,6,9.49
8,7,13.10
8,8,17.57
8,9,23.34
8,10,29.31
8,11,36.56
8,12,41.25
8,13,43.30
8,14,43.43
8,15,42.50
8,16,39.52
8,17,34.44
8,18,34.24
16,1,2.89
16,2,3.46
16,3,4.14
16,4,5.43
16,5,7.21
16,6,10.88
16,7,15.70
16,8,21.57
16,9,31.00
16,10,41.56
16,11,55.61
16,12,70.93
16,13,71.36
16,14,70.97
16,15,69.74
16,16,60.29
16,17,44.24
16,18,50.08
32,1,2.53
32,2,3.08
32,3,3.98
