Independent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,34.30
1,2,45.58
1,3,54.61
1,4,60.87
1,5,64.22
1,6,60.84
1,7,60.93
1,8,63.04
1,9,61.32
1,10,55.68
1,11,48.48
1,12,40.52
1,13,36.87
1,14,32.73
1,15,27.76
1,16,23.67
1,17,19.46
1,18,12.90
2,1,52.46
2,2,49.09
2,3,41.86
2,4,46.23
2,5,60.03
2,6,73.21
2,7,83.92
2,8,91.66
2,9,87.46
2,10,87.33
2,11,84.50
2,12,72.44
2,13,66.29
2,14,56.79
2,15,49.97
2,16,43.82
2,17,36.62
2,18,26.79
4,1,68.82
4,2,58.01
4,3,46.74
4,4,61.30
4,5,92.66
4,6,113.65
4,7,138.68
4,8,133.69
4,9,163.51
4,10,164.96
4,11,146.79
4,12,126.09
4,13,113.42
4,14,96.13
4,15,81.11
4,16,64.81
4,17,48.41
4,18,42.75
8,1,88.80
8,2,73.21
8,3,69.50
8,4,101.94
8,5,140.32
8,6,138.86
8,7,182.56
8,8,233.09
8,9,210.53
8,10,236.77
8,11,194.27
8,12,202.80
8,13,146.63
8,14,112.35
8,15,74.57
8,16,48.87
8,17,34.55
8,18,44.03
16,1,112.83
16,2,104.56
16,3,122.84
16,4,151.83
16,5,218.33
16,6,214.18
16,7,342.30
16,8,290.43
16,9,329.02
16,10,333.26
16,11,247.77
16,12,226.53
16,13,144.21
16,14,70.60
16,15,43.55
16,16,32.58
16,17,24.51
16,18,39.57
32,1,126.00
32,2,146.15
32,3,162.86
32,4,205.06
32,5,219.56
32,6,364.58
32,7,437.39
32,8,426.17
32,9,381.68
32,10,363.14
32,11,242.84
32,12,144.32
32,13,93.27
32,14,50.76
32,15,34.98
32,16,25.92
32,17,20.79
32,18,34.74
Independent Experiment Results (Throughput MT/s):
Threads,HashBits,Throughput
1,1,34.65
1,2,45.38
1,3,54.29
1,4,60.72
1,5,64.80
1,6,61.30
1,7,60.97
1,8,62.77
1,9,61.39
1,10,61.94
1,11,48.30
1,12,40.22
1,13,36.28
1,14,32.28
1,15,26.94
1,16,23.62
1,17,19.27
1,18,12.80
2,1,52.23
2,2,50.47
2,3,42.19
2,4,43.91
2,5,60.74
2,6,74.93
2,7,84.01
2,8,91.10
2,9,98.70
2,10,97.36
